Word 1,Word 2,Human (Mean),Model Similarity
admission,ticket,5.536,0.2536108195781708
alcohol,chemistry,4.125,0.5613850355148315
aluminum,metal,6.625,0.569373369216919
announcement,effort,2.0625,0.22620703279972076
announcement,news,7.1875,0.6652630567550659
announcement,production,1.6875,0.5774080157279968
announcement,warning,4.625,0.6094657182693481
architecture,century,1.929,0.2889460027217865
arrangement,accommodation,5.125,-0.0026529422029852867
arrival,hotel,2.1875,0.3761887848377228
asylum,madhouse,8.0625,-0.3273341655731201
atmosphere,landscape,3.5625,0.08335530757904053
attempt,peace,0.9375,0.4747771918773651
baby,mother,5.25,0.6019471287727356
bank,money,6.625,0.34832653403282166
baseball,season,3.2565,0.5221806764602661
bed,closet,2.25,0.7205876111984253
bird,cock,5.875,0.17712044715881348
bird,crane,4.8125,0.16511407494544983
bishop,rabbi,5.375,0.6236271262168884
board,recommendation,1.25,0.5880653262138367
book,library,5.3125,0.3969349265098572
book,paper,5.875,-0.06286174803972244
boy,lad,7.844,0.5430122017860413
bread,butter,4.1875,0.793045699596405
brother,monk,4.25,0.33177056908607483
calculation,computation,8.0565,0.2470482438802719
canyon,landscape,5.25,0.5402153730392456
car,automobile,9.369,0.4037753641605377
car,flight,2.4375,0.44253411889076233
cell,phone,6.25,0.02263651043176651
cemetery,woodland,2.3125,0.32419678568840027
century,nation,2.1875,0.3625524640083313
century,year,4.0,0.19581028819084167
championship,tournament,7.5,0.6349208354949951
chance,credibility,2.163,0.4750790596008301
change,attitude,3.375,0.45696598291397095
chord,smile,0.8125,0.43829086422920227
closet,clothes,4.625,0.7871205806732178
coast,forest,2.125,0.615841805934906
coast,hill,2.3125,0.609483540058136
coast,shore,8.2755,0.5981980562210083
company,stock,3.75,0.45908284187316895
competition,price,3.0,0.659429132938385
computer,keyboard,5.9375,0.42656242847442627
computer,laboratory,3.375,0.30255481600761414
computer,news,1.6875,0.26285475492477417
concert,virtuoso,3.6875,0.5320391058921814
consumer,confidence,1.6875,0.3869037628173828
consumer,energy,2.75,0.5135370492935181
country,citizen,4.3125,0.2296084761619568
crane,implement,2.125,0.4400494396686554
credit,card,4.5625,0.07617568224668503
credit,information,3.644,0.389317125082016
cup,article,1.3125,-0.021331481635570526
cup,coffee,5.0625,0.8137822151184082
cup,drink,4.75,0.5852663516998291
cup,entity,1.375,0.43443071842193604
cup,food,1.875,0.16560736298561096
cup,liquid,3.75,0.2683340311050415
cup,object,4.25,0.26088947057724
cup,substance,1.9375,0.29111814498901367
currency,market,4.3125,0.39951401948928833
day,dawn,4.625,0.3402557671070099
day,summer,3.125,0.4571096897125244
death,inmate,1.944,-0.256121963262558
death,row,1.6875,0.09962572902441025
decoration,valor,3.25,0.23441974818706512
delay,news,1.4375,0.367939829826355
deployment,departure,5.5,0.7312748432159424
deployment,withdrawal,3.5,0.6345836520195007
development,issue,3.3125,0.37796521186828613
direction,combination,2.0625,0.3863725960254669
disability,death,2.3125,0.2527763843536377
disaster,area,1.625,0.11837559193372726
discovery,space,3.9375,0.10685613751411438
dividend,calculation,5.1875,0.6106336116790771
dividend,payment,5.5,0.6684575080871582
doctor,liability,2.5,-0.13016362488269806
doctor,nurse,6.125,0.6804185509681702
doctor,personnel,3.5625,0.15054519474506378
dollar,buck,8.5625,0.10419512540102005
dollar,loss,2.1875,0.24011468887329102
dollar,profit,5.375,0.12290526181459427
dollar,yen,6.3125,0.1955268234014511
drink,car,0.3125,0.44599369168281555
drink,ear,0.375,0.599158525466919
drink,eat,4.125,0.5094529390335083
drink,mother,0.5625,0.3902226686477661
drink,mouth,4.7375,0.7073948979377747
drug,abuse,4.9375,0.23272910714149475
energy,crisis,3.0505,0.37354180216789246
energy,laboratory,2.7565,0.6558694243431091
energy,secretary,1.0625,0.20389880239963531
