Word 1,Word 2,Human (Mean),Model Similarity
admission,ticket,5.536,0.4626487195491791
alcohol,chemistry,4.125,0.3229874074459076
aluminum,metal,6.625,0.8454661965370178
announcement,effort,2.0625,0.471233069896698
announcement,news,7.1875,0.4363973140716553
announcement,production,1.6875,0.39082270860671997
announcement,warning,4.625,0.3172752261161804
architecture,century,1.929,0.6579566597938538
arrival,hotel,2.1875,0.46914297342300415
atmosphere,landscape,3.5625,0.847344696521759
attempt,peace,0.9375,0.5963902473449707
baby,mother,5.25,0.8394402265548706
bank,money,6.625,0.6959432363510132
baseball,season,3.2565,0.8017042279243469
bed,closet,2.25,0.5637649297714233
bird,cock,5.875,0.5823509097099304
bird,crane,4.8125,0.7854808568954468
bishop,rabbi,5.375,0.7457131743431091
board,recommendation,1.25,0.5136014819145203
book,library,5.3125,0.5958479046821594
book,paper,5.875,0.8440395593643188
boy,lad,7.844,0.7182436585426331
bread,butter,4.1875,0.8180813193321228
brother,monk,4.25,0.6401462554931641
calculation,computation,8.0565,0.6205315589904785
canyon,landscape,5.25,0.7138153314590454
car,automobile,9.369,0.5643638968467712
car,flight,2.4375,0.5826361775398254
cell,phone,6.25,0.19231781363487244
century,nation,2.1875,0.7105446457862854
century,year,4.0,0.14797469973564148
championship,tournament,7.5,0.8345302939414978
change,attitude,3.375,0.620350182056427
chord,smile,0.8125,0.28827232122421265
closet,clothes,4.625,0.5372555255889893
coast,forest,2.125,0.6417085528373718
coast,hill,2.3125,0.915058434009552
coast,shore,8.2755,0.8400026559829712
company,stock,3.75,0.5874385833740234
competition,price,3.0,0.5094262957572937
computer,keyboard,5.9375,0.5014652609825134
computer,laboratory,3.375,0.6746654510498047
computer,news,1.6875,0.6732457280158997
concert,virtuoso,3.6875,0.7303951382637024
consumer,confidence,1.6875,0.19083306193351746
consumer,energy,2.75,0.25684890151023865
country,citizen,4.3125,0.3203444480895996
crane,implement,2.125,0.048130907118320465
credit,card,4.5625,0.6924197673797607
credit,information,3.644,0.6330118775367737
cup,article,1.3125,0.6288613677024841
cup,coffee,5.0625,0.7229962348937988
cup,drink,4.75,0.7493391036987305
cup,entity,1.375,0.6761749982833862
cup,food,1.875,0.7255188226699829
cup,liquid,3.75,0.6769046783447266
cup,object,4.25,0.6645423769950867
cup,substance,1.9375,0.6338528990745544
currency,market,4.3125,0.4126126170158386
day,dawn,4.625,0.40615808963775635
day,summer,3.125,0.2273094654083252
death,row,1.6875,0.7509436011314392
delay,news,1.4375,0.7645570039749146
development,issue,3.3125,0.5339503288269043
direction,combination,2.0625,0.7830806970596313
disability,death,2.3125,0.12242511659860611
disaster,area,1.625,0.49635928869247437
discovery,space,3.9375,0.609866201877594
dividend,calculation,5.1875,0.01567075401544571
dividend,payment,5.5,0.06798212975263596
doctor,liability,2.5,0.3133089244365692
doctor,nurse,6.125,0.3678404986858368
doctor,personnel,3.5625,0.6929511427879333
dollar,buck,8.5625,0.6834543943405151
dollar,loss,2.1875,0.7439607977867126
dollar,profit,5.375,0.6268377304077148
dollar,yen,6.3125,0.7045518755912781
drink,car,0.3125,0.6216212511062622
drink,ear,0.375,0.627364993095398
drink,eat,4.125,0.581757664680481
drink,mother,0.5625,0.6936814188957214
drink,mouth,4.7375,0.6483938694000244
drug,abuse,4.9375,0.8525034785270691
energy,crisis,3.0505,0.7572152018547058
energy,laboratory,2.7565,0.814972996711731
energy,secretary,1.0625,0.4253733158111572
equipment,maker,2.5625,0.4215986430644989
experience,music,2.3125,0.7159464359283447
family,planning,1.75,0.5627077221870422
fertility,egg,5.1875,0.5097439289093018
fighting,defeating,5.5,0.6298947334289551
five,month,1.069,0.5201552510261536
focus,life,2.3125,0.08322323858737946
food,fruit,7.0625,0.7923258543014526
food,preparation,3.75,0.7322667837142944
food,rooster,2.5625,0.695188581943512
football,basketball,4.125,0.6956886649131775
football,soccer,8.5625,0.022421224042773247
