Word 1,Word 2,Human (Mean),Model Similarity
admission,ticket,5.536,0.21598714590072632
alcohol,chemistry,4.125,0.38459086418151855
aluminum,metal,6.625,0.39151731133461
announcement,effort,2.0625,0.2668076753616333
announcement,news,7.1875,0.36513423919677734
announcement,production,1.6875,0.24385981261730194
announcement,warning,4.625,0.40940427780151367
architecture,century,1.929,0.10031215846538544
arrangement,accommodation,5.125,0.42016512155532837
arrival,hotel,2.1875,0.41487351059913635
asylum,madhouse,8.0625,0.29529762268066406
atmosphere,landscape,3.5625,0.3164484202861786
attempt,peace,0.9375,0.22294068336486816
baby,mother,5.25,0.3548414409160614
bank,money,6.625,0.21135839819908142
baseball,season,3.2565,0.24121913313865662
bed,closet,2.25,0.5168718099594116
bird,cock,5.875,0.3994433283805847
bird,crane,4.8125,0.32778793573379517
bishop,rabbi,5.375,0.2802676558494568
board,recommendation,1.25,0.4890720546245575
book,library,5.3125,0.21953919529914856
book,paper,5.875,0.18522481620311737
boy,lad,7.844,0.36636999249458313
bread,butter,4.1875,0.49957725405693054
brother,monk,4.25,0.35434338450431824
calculation,computation,8.0565,0.3410071134567261
canyon,landscape,5.25,0.29460272192955017
car,automobile,9.369,0.32473546266555786
car,flight,2.4375,0.21140405535697937
cell,phone,6.25,0.1376820057630539
cemetery,woodland,2.3125,0.34327512979507446
century,nation,2.1875,0.42240360379219055
century,year,4.0,0.3780151605606079
championship,tournament,7.5,0.34974607825279236
chance,credibility,2.163,0.25854724645614624
change,attitude,3.375,0.30662161111831665
chord,smile,0.8125,0.356234610080719
closet,clothes,4.625,0.3978078067302704
coast,forest,2.125,0.39322230219841003
coast,hill,2.3125,0.5025380849838257
coast,shore,8.2755,0.4864673912525177
company,stock,3.75,0.2368602305650711
competition,price,3.0,0.2438032329082489
computer,keyboard,5.9375,0.3710489571094513
computer,laboratory,3.375,0.03263506293296814
computer,news,1.6875,0.12148050963878632
concert,virtuoso,3.6875,0.18874020874500275
consumer,confidence,1.6875,0.08652070164680481
consumer,energy,2.75,0.3135327100753784
country,citizen,4.3125,0.23474976420402527
crane,implement,2.125,0.2397020310163498
credit,card,4.5625,0.2711290419101715
credit,information,3.644,0.39357203245162964
cup,article,1.3125,0.15739840269088745
cup,coffee,5.0625,0.4827944338321686
cup,drink,4.75,0.4607727527618408
cup,entity,1.375,0.2374202013015747
cup,food,1.875,0.2006613165140152
cup,liquid,3.75,0.3603935241699219
cup,object,4.25,0.15572015941143036
cup,substance,1.9375,0.3173487186431885
currency,market,4.3125,0.3387609124183655
day,dawn,4.625,0.30942240357398987
day,summer,3.125,0.43583667278289795
death,inmate,1.944,0.1854933798313141
death,row,1.6875,0.10060472041368484
decoration,valor,3.25,0.2701830267906189
delay,news,1.4375,0.34189701080322266
deployment,departure,5.5,0.4214174449443817
deployment,withdrawal,3.5,0.5847040414810181
development,issue,3.3125,0.36167997121810913
direction,combination,2.0625,0.3349132835865021
disability,death,2.3125,0.10934490710496902
disaster,area,1.625,0.11884761601686478
discovery,space,3.9375,0.14764855802059174
dividend,calculation,5.1875,0.2819126844406128
dividend,payment,5.5,0.35949352383613586
doctor,liability,2.5,0.2632467448711395
doctor,nurse,6.125,0.31115126609802246
doctor,personnel,3.5625,0.1652764230966568
dollar,buck,8.5625,0.11448529362678528
dollar,loss,2.1875,0.29166704416275024
dollar,profit,5.375,0.28174108266830444
dollar,yen,6.3125,0.3616328835487366
drink,car,0.3125,0.25517207384109497
drink,ear,0.375,0.5275519490242004
drink,eat,4.125,0.5096819400787354
drink,mother,0.5625,0.3278616666793823
drink,mouth,4.7375,0.433154433965683
drug,abuse,4.9375,0.27741676568984985
energy,crisis,3.0505,0.15217703580856323
energy,laboratory,2.7565,0.23019853234291077
energy,secretary,1.0625,0.2797326147556305
equipment,maker,2.5625,0.26772329211235046
exhibit,memorabilia,4.625,0.29333174228668213
experience,music,2.3125,0.27190878987312317
family,planning,1.75,0.11045635491609573
fertility,egg,5.1875,0.2894127368927002
fighting,defeating,5.5,0.2371242493391037
five,month,1.069,0.4001944661140442
focus,life,2.3125,0.3805874288082123
food,fruit,7.0625,0.31206637620925903
food,preparation,3.75,0.3675922155380249
food,rooster,2.5625,0.3767485022544861
football,basketball,4.125,0.3928743004798889
football,soccer,8.5625,0.49052685499191284
football,tennis,3.6875,0.4576417803764343
forest,graveyard,1.394,0.33990561962127686
fuck,sex,8.25,0.1378539353609085
furnace,stove,8.0625,0.370079904794693
game,defeat,3.6875,0.2717117667198181
game,round,5.1875,0.3277684450149536
game,series,4.5625,0.3732169270515442
game,team,4.625,0.3184959888458252
game,victory,4.6875,0.2991619408130646
gem,jewel,8.375,0.396601140499115
gender,equality,3.4375,0.2703920900821686
glass,magician,1.0,0.19955776631832123
glass,metal,2.1875,0.35356196761131287
government,crisis,3.625,0.2615739703178406
governor,interview,1.625,0.13677631318569183
governor,office,4.3125,0.3891749382019043
grocery,money,3.375,0.14367735385894775
holy,sex,1.069,0.23437535762786865
hotel,reservation,5.0625,0.25966012477874756
hundred,percent,4.4375,0.4635370373725891
image,surface,1.8125,0.2298823595046997
impartiality,interest,1.875,0.2643125355243683
investigation,effort,3.75,0.30841439962387085
investor,earning,5.0625,0.24325397610664368
jaguar,car,5.3125,0.30850785970687866
jaguar,cat,6.4375,0.34759604930877686
journal,association,2.625,0.15941551327705383
journey,car,4.0625,0.3498574197292328
journey,voyage,7.5,0.4451512098312378
king,cabbage,0.625,0.17331087589263916
king,queen,5.6875,0.4116631746292114
lad,brother,4.9375,0.2589572072029114
lad,wizard,1.6875,0.4229695796966553
law,lawyer,6.1875,0.28943315148353577
lawyer,evidence,3.9375,0.13201291859149933
liability,insurance,4.375,0.5734977126121521
life,death,4.375,0.261582612991333
life,lesson,3.1875,0.2428046464920044
life,term,3.8125,0.07268854975700378
line,insurance,1.3125,0.19962061941623688
liquid,water,7.0625,0.40873825550079346
listing,category,5.375,0.23848608136177063
listing,proximity,1.4375,0.2328098863363266
lobster,food,5.75,0.2217513620853424
lobster,wine,2.375,0.3686870038509369
love,sex,6.375,0.23603536188602448
lover,quarrel,1.6875,0.162615105509758
luxury,car,3.3125,0.23440104722976685
magician,wizard,7.6875,0.41705846786499023
man,governor,4.25,0.08788255602121353
man,woman,4.5,0.556808352470398
media,gain,1.375,0.10275958478450775
media,radio,6.4375,0.3118933141231537
media,trading,1.8125,0.29309770464897156
midday,noon,8.9375,0.3075902760028839
mile,kilometer,6.9375,0.5171888470649719
minister,party,3.0625,0.4315546154975891
ministry,culture,2.844,0.3998318016529083
minority,peace,1.1875,0.06557036191225052
money,bank,6.0,0.21135839819908142
money,cash,8.875,0.31106889247894287
money,cash,9.0315,0.31106889247894287
money,currency,7.9375,0.18547387421131134
money,deposit,5.375,0.028699252754449844
money,dollar,7.6875,0.29256218671798706
money,laundering,4.4565,0.10290302336215973
money,operation,1.875,0.30007219314575195
money,possession,4.3125,0.23582866787910461
money,property,5.0625,0.41708528995513916
money,wealth,7.0625,0.20385989546775818
money,withdrawal,4.0625,0.16449521481990814
monk,oracle,2.5625,0.45369017124176025
monk,slave,2.5625,0.24872708320617676
month,hotel,1.0625,0.3344159424304962
morality,importance,2.5,0.3209908902645111
morality,marriage,2.375,0.1652914583683014
movie,critic,3.1875,0.1694817692041397
movie,star,4.3125,0.3375219702720642
movie,theater,6.125,0.32927149534225464
murder,manslaughter,7.5,0.365295946598053
museum,theater,3.875,0.4713652431964874
music,project,3.1875,0.16079780459403992
nature,environment,6.9375,0.5129039287567139
